Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Close_Lag1,Close_Lag7,MA_7,MA_30,Volatility_7,Price_Change,Return,DayOfWeek,Month,Price_Change_Direction
11/17/2018,5650.57,5656.6,5565.43,0.029822949,0.034337328,00:00.0,148072393.1,171403,14662.9462,82212555.96,0,0.030164178,0.039754511,0.033709915,0.035334759,0.081662863,0.479621532,0.66082874,0.833333333,0.909090909,0
11/18/2018,5630.49,5738.17,5617,0.030238965,0.030962489,00:00.0,134893237,154817,12870.69295,72812616.99,0,0.029822949,0.039961347,0.032319182,0.034976747,0.076911577,0.483819131,0.679253316,1,0.909090909,1
11/19/2018,5661.94,5664,4855,0.020958885,0.092424384,00:00.0,368688743.5,378495,34832.06548,181961869.4,0,0.030238965,0.040001579,0.02959523,0.034283599,0.095188164,0.430071255,0.444163498,0,0.909090909,0
11/20/2018,4913.4,5048.24,4326,0.016625087,0.153970661,00:00.0,548036628.7,596769,60016.15772,280209159,0,0.020958885,0.040058224,0.026243249,0.033444715,0.104625468,0.457489732,0.547971068,0.166666667,0.909090909,0
11/21/2018,4559.91,4787.2,4413.85,0.017886463,0.079919112,00:00.0,281264433.5,301920,31538.61081,145270590.6,0,0.016625087,0.033452691,0.024016586,0.032651723,0.109689843,0.488505173,0.707082615,0.333333333,0.909090909,1
11/22/2018,4661.08,4721.77,4335,0.014294361,0.045015696,00:00.0,157459733.7,180335,17104.71637,78079163.84,0,0.017886463,0.031366934,0.021574449,0.031749958,0.118499099,0.461601135,0.563339906,0.5,0.909090909,0
11/23/2018,4370.9,4484,4222.94,0.014918941,0.064532682,00:00.0,215283656.1,227935,25825.00893,112703529.4,0,0.014294361,0.030164178,0.019393702,0.030864142,0.113687455,0.484975249,0.688724448,0.666666667,0.909090909,1
11/24/2018,4415.63,4527,3824.69,0.008894423,0.080736153,00:00.0,258702927.7,275070,30242.18919,127231531.6,0,0.014918941,0.029822949,0.016399992,0.029792167,0.112147777,0.448117648,0.482068523,0.833333333,0.909090909,0
11/25/2018,3933.68,4233,3652.66,0.010786796,0.13334088,00:00.0,398253568.5,428171,53212.171,208468641.4,0,0.008894423,0.030238965,0.013617466,0.028779167,0.069444036,0.492002944,0.735153832,1,0.909090909,1
11/26/2018,4088.69,4206,3701,0.008027589,0.123886555,00:00.0,373230308.3,413339,48232.50553,190643829.1,0,0.010786796,0.020958885,0.011767716,0.027687473,0.06481907,0.466218084,0.576424947,0,0.909090909,0
11/27/2018,3864.45,3940,3689.12,0.008188146,0.08834723,00:00.0,257593168.1,288731,36322.28392,138747058.9,0,0.008027589,0.016625087,0.010560858,0.026607622,0.065142687,0.482403057,0.674814299,0.166666667,0.909090909,1
11/28/2018,3875.63,4394.47,3874.27,0.012996703,0.120570823,00:00.0,382697308.3,386714,47319.59442,196769358.6,0,0.008188146,0.017886463,0.009861405,0.02574875,0.049231752,0.508168079,0.839408877,0.333333333,0.909090909,1
11/29/2018,4262.06,4450.38,4125.65,0.013379151,0.096894776,00:00.0,316809038.4,316601,36962.4736,158303080.3,0,0.012996703,0.014294361,0.009730489,0.024908305,0.046756797,0.483633058,0.681416202,0.5,0.909090909,1
